#{"t_start": 1764510911.6651561, "env_id": "None"}
r,l,t
-66.509054,112,3.322555
-18.606264,14,3.864859
-15.090739,13,4.381452
-35.481374,43,5.589248
-188.269888,200,10.890528
-146.692385,200,16.408156
-183.993113,200,26.075697
-17.629938,8,28.438768
-64.864531,77,43.728302
-201.462957,200,84.177352
-48.530561,37,91.391257
-174.04827,200,116.464763
-13.330951,5,117.441144
-35.890257,37,121.983547
-204.53102,200,149.425938
-195.5284,179,194.212285
-203.083817,200,241.717071
-35.62027,31,248.89427
-131.017143,157,275.977866
-192.936293,200,307.584017
-117.521801,200,339.005622
-21.697282,18,341.363993
-14.282709,7,342.481407
-50.72621,55,349.547153
-147.213913,200,386.082669
-155.384694,200,417.979696
-145.901886,200,459.551915
-115.8529,200,503.435211
-27.136635,22,508.327704
-115.236312,157,537.76954
-75.084224,91,545.957015
-17.54121,14,548.008578
-25.526828,27,553.379485
-131.50355,200,586.904838
-149.60841,200,621.421337
-14.616147,7,623.123512
-43.114155,51,633.440671
-131.004325,200,671.614836
-13.749592,8,673.383791
-59.31494,81,682.504827
-26.855254,28,685.860906
-24.578162,18,686.590759
-13.809398,7,687.704567
-38.70349,34,693.210462
-13.186361,7,695.274307
-15.82146,18,696.412108
-29.923353,32,701.02889
-28.909733,20,704.077586
-16.471138,10,705.618297
-25.466819,24,708.448749
-43.573303,55,714.558466
-12.420578,6,715.278387
-34.563685,37,719.371923
-20.612753,21,721.663042
-17.136432,9,722.922225
-30.413302,28,725.724266
-21.100329,22,728.100516
-19.174612,15,729.586546
-19.102235,17,730.993436
-129.2301,200,755.743658
-44.14411,53,761.014082
-48.3711,49,767.89397
-119.213894,200,798.423359
-35.437024,27,801.661027
-156.040709,200,827.568147
-161.491242,200,851.378207
-83.187673,110,858.924175
-151.156223,200,888.780454
-148.021865,200,924.508139
-160.396165,200,956.783609
-143.211209,200,975.552429
-167.197417,200,1007.348021
-33.811856,33,1014.453692
-22.089369,18,1017.686739
-117.518392,153,1039.841792
-149.018327,200,1062.579571
-84.129574,102,1077.340362
-29.635991,23,1081.85999
-23.723332,24,1085.925355
-19.781939,17,1088.044756
-82.73536,100,1101.197407
-67.776929,86,1112.12481
-15.879073,11,1113.949501
-23.080868,22,1117.081383
-161.114006,200,1139.741174
-169.288376,200,1161.425989
-121.178354,200,1184.149893
